,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CNTY_NM,TRFC_STATN_ID,AADT_RPT_QTY,AADT_RPT_HIST_05_QTY,LATITUDE,LONGITUDE,5Yr_Growth,Wildfire_Risk,City
168,168,168,168,Hays,106T28,6953,9918.0,30.07832,-97.844803,-0.298951401,Minimal Direct Wildfire Impacts,Buda
169,169,169,169,Hays,106T29,19419,17950.0,30.081912,-97.843355,0.08183844,Minimal Direct Wildfire Impacts,Buda
170,170,170,170,Hays,106T31,7817,7776.0,29.999878,-98.10209,0.005272634,Minimal Direct Wildfire Impacts,Wimberley
171,171,171,171,Hays,106T32,3444,2602.0,30.192758,-98.090189,0.3235972328977709,Minimal Direct Wildfire Impacts,Dripping Springs
172,172,172,172,Hays,106T33A,12774,13635.0,30.19358,-98.087413,-0.063146315,Minimal Direct Wildfire Impacts,Dripping Springs
173,173,173,173,Hays,106T4,11508,9713.0,29.88557,-97.93976,0.1848038711005868,Minimal Direct Wildfire Impacts,San Marcos
174,174,174,174,Hays,106T6,144823,133231.0,29.874713,-97.932014,0.087006778,Minimal Direct Wildfire Impacts,San Marcos
175,175,175,175,Hays,106T6NBSR,7463,8633.0,29.874388,-97.931683,-0.135526468,Minimal Direct Wildfire Impacts,San Marcos
176,176,176,176,Hays,106T6SBSR,7761,8494.0,29.874889,-97.93219,-0.086296209,Minimal Direct Wildfire Impacts,San Marcos
177,177,177,177,Hays,106T7,4484,4532.0,29.864678,-97.938315,-0.01059135,Minimal Direct Wildfire Impacts,San Marcos
178,178,178,178,Hays,106T8A,23591,20144.0,29.86362,-97.938885,0.1711179507545671,Minimal Direct Wildfire Impacts,San Marcos
179,179,179,179,Hays,106T9,15298,14672.0,29.87494,-97.940075,0.042666303,Minimal Direct Wildfire Impacts,San Marcos
180,180,180,180,Hays,106U1105,344,236.0,30.27161199,-98.205359,0.4576271186440678,Minimal Direct Wildfire Impacts,Unknown
181,181,181,181,Hays,106U1111,1520,633.0,29.995059,-98.236491,1.401263823064771,Minimal Direct Wildfire Impacts,Unknown
182,182,182,182,Hays,106U133,1142,1064.307668793418,29.881196,-97.931737,0.072998,Minimal Direct Wildfire Impacts,San Marcos
183,183,183,183,Hays,106U1637,1776,1655.1754989291687,30.01379,-97.890017,0.072998,Minimal Direct Wildfire Impacts,Kyle
184,184,184,184,Hays,106U1640,5413,3725.0,29.825298,-97.91983,0.4531543624161074,Minimal Direct Wildfire Impacts,San Marcos
185,185,185,185,Hays,106U1645,1274,1187.327469389505,29.955887,-97.878599,0.072998,Minimal Direct Wildfire Impacts,Kyle
186,186,186,186,Hays,106U1780,20639,19234.891397747248,29.987883,-97.871233,0.072998,Minimal Direct Wildfire Impacts,Kyle
187,187,187,187,Bastrop,11A7101,36010,36079.74214155963,30.10513,-97.297761,-0.001933,Minimal Direct Wildfire Impacts,Bastrop
188,188,188,188,Bastrop,11D1,14744,15141.0,30.174129,-97.316669,-0.026220197,Minimal Direct Wildfire Impacts,Unknown
189,189,189,189,Bastrop,11D10,1350,1547.0,29.858955,-97.374786,-0.127343245,Minimal Direct Wildfire Impacts,Unknown
190,190,190,190,Bastrop,11D12,50324,46490.0,30.111009,-97.365651,0.082469348,Minimal Direct Wildfire Impacts,Bastrop
191,191,191,191,Bastrop,11D12AWBSR,2293,900.0,30.111182,-97.375299,1.5477777777777777,Minimal Direct Wildfire Impacts,Bastrop
192,192,192,192,Bastrop,11D12EBSR,8007,5370.0,30.110717,-97.365922,0.4910614525139665,Minimal Direct Wildfire Impacts,Bastrop
193,193,193,193,Bastrop,11D12WBSR,9678,6462.0,30.111304,-97.365477,0.4976787372330548,Minimal Direct Wildfire Impacts,Bastrop
194,194,194,194,Bastrop,11D13,7463,4258.0,30.22129,-97.476992,0.7527007984969469,Minimal Direct Wildfire Impacts,Webberville
195,195,195,195,Bastrop,11D14,5164,3081.0,30.271445,-97.407169,0.6760791950665368,Minimal Direct Wildfire Impacts,Unknown
196,196,196,196,Bastrop,11D15,8,162.0,30.108908,-97.282333,-0.950617284,Minimal Direct Wildfire Impacts,Bastrop
197,197,197,197,Bastrop,11D15A,97,36.0,30.044748,-97.162858,1.6944444444444444,Minimal Direct Wildfire Impacts,Unknown
198,198,198,198,Bastrop,11D2,9929,5112.0,30.407541,-97.374152,0.9422926447574336,Minimal Direct Wildfire Impacts,Elgin
199,199,199,199,Bastrop,11D3,2308,2159.0,30.367908,-97.263281,0.069013432,Minimal Direct Wildfire Impacts,Unknown
200,200,200,200,Bastrop,11D3AWBSR,2549,1989.0,30.105372,-97.311892,0.2815485168426345,Minimal Direct Wildfire Impacts,Bastrop
201,201,201,201,Bastrop,11D4,12499,13182.0,30.292577,-97.255673,-0.051813078,Minimal Direct Wildfire Impacts,McDade
202,202,202,202,Bastrop,11D5,13400,11399.0,30.273896,-97.238284,0.1755417141854548,Minimal Direct Wildfire Impacts,McDade
203,203,203,203,Bastrop,11D6,8353,7025.0,30.228242,-97.07652,0.1890391459074733,Minimal Direct Wildfire Impacts,Paige
