CNTY_NM,City,LATITUDE,LONGITUDE,Wildfire_Risk,RISK_STATE_RANK_Scaled,AADT_RPT_QTY_Scaled,5Yr_Growth_Scaled,Gridlock_Risk_Score
Bastrop,Elgin,30.367873,-97.372861,0,0.3066255778120184,0.0591055655333942,0.2413176686253391,0.15145208581002367
Bastrop,Elgin,30.362754,-97.37466,0,0.3066255778120184,0.0154288895190681,0.2424553682593519,0.13869039289592966
Bastrop,Elgin,30.351536,-97.364054,0,0.3066255778120184,0.0180966484964972,0.1816970892390921,0.12126323688308047
Bastrop,Elgin,30.335232,-97.362633,0,0.3066255778120184,0.1865068111877829,0.2172558998550031,0.18245392887523948
Bastrop,Bastrop,30.110533,-97.384186,0,0.2557781201848997,0.0047420991272016,0.3391394868503458,0.15432009983024417
Bastrop,Bastrop,30.133657,-97.315769,0,0.2557781201848997,0.0965749755805526,0.1654576494413263,0.1297654115435436
Bastrop,Bastrop,30.111645,-97.307542,0,0.2557781201848997,0.1209103990085179,0.1330551201750365,0.12734527979204627
Bastrop,Smithville,30.009424,-97.161798,0,0.3913713405238829,0.0294661331148711,0.1294850098052219,0.1259596109808045
Bastrop,Smithville,30.007348,-97.156944,0,0.3913713405238829,0.0249078362794214,0.087436511351147,0.1119775723939471
Bastrop,Smithville,30.004874,-97.151068,0,0.3913713405238829,0.0246032496245181,0.1304509722866729,0.12479053467813388
Bastrop,Smithville,30.008501,-97.164898,0,0.3913713405238829,0.0348384115280797,0.0992935725253154,0.11851386332079511
Bastrop,Smithville,30.009727,-97.165016,0,0.3913713405238829,0.006700906407873,0.116408909517842,0.11520721288249108
Bastrop,Elgin,30.33765,-97.371515,0,0.3066255778120184,0.2146233103317894,0.2185888687013296,0.19128876927233937
Bastrop,Elgin,30.339367,-97.369146,0,0.3066255778120184,0.0234059089811051,0.1608611405758288,0.11660523042948384
Bastrop,Elgin,30.339648,-97.367382,0,0.3066255778120184,0.0322756824316518,0.2604866994085973,0.14915383011447841
Bastrop,Elgin,30.347305,-97.370274,0,0.3066255778120184,0.0448057472350883,0.1725974220838375,0.1265460663580814
Bastrop,Elgin,30.349649,-97.370459,0,0.3066255778120184,0.0219564966232893,0.1638539333664352,0.11706824455932102
Bastrop,Elgin,30.351031,-97.371795,0,0.3066255778120184,0.0405047736080915,0.1583165392247196,0.12097150941224702
Bastrop,Elgin,30.352959,-97.374628,0,0.3066255778120184,0.0424530779006627,0.165566140722748,0.12373088114942689
Bastrop,Elgin,30.3537,-97.37619,0,0.3066255778120184,0.0310730902941887,0.1558838462803998,0.11741219653478022
Bastrop,Bastrop,30.104962,-97.30905,0,0.2557781201848997,0.1414910041906922,0.0111520913337147,0.096948552694302
Bastrop,Elgin,30.354345,-97.374856,0,0.3066255778120184,0.0180283790738465,0.2414472945393451,0.13916781764636116
