DIST_NBR,DIST_NM,CNTY_NBR,CNTY_NM,TRFC_STATN_ID,CATEGORY,ACTIVE,AADT_RPT_YEAR,AADT_RPT_QTY,AADT_RPT_HIST_01_QTY,AADT_RPT_HIST_02_QTY,AADT_RPT_HIST_03_QTY,AADT_RPT_HIST_04_QTY,AADT_RPT_HIST_05_QTY,AADT_RPT_HIST_06_QTY,AADT_RPT_HIST_07_QTY,AADT_RPT_HIST_08_QTY,AADT_RPT_HIST_09_QTY,AADT_RPT_HIST_10_QTY,AADT_RPT_HIST_11_QTY,AADT_RPT_HIST_12_QTY,AADT_RPT_HIST_13_QTY,AADT_RPT_HIST_14_QTY,AADT_RPT_HIST_15_QTY,AADT_RPT_HIST_16_QTY,AADT_RPT_HIST_17_QTY,AADT_RPT_HIST_18_QTY,AADT_RPT_HIST_19_QTY,ON_ROAD,COUNT_CYCLE,LATITUDE,LONGITUDE,OBJECTID_1,geometry
14,Austin,106,Hays,106H1ANBSR,ANNUAL ACR,1,2023,20475,22669.0,21135.0,16512.0,20926.0,21982.0,19274.0,22344.0,21854.0,18110.0,20572.0,,,,,,,,,,IH0035,1,29.888899,-97.915576,490250,POINT (-97.91557599999999 29.888898999999995)
14,Austin,106,Hays,106H1ASBSR,ANNUAL ACR,1,2023,20789,21836.0,20358.0,16931.0,20156.0,20357.0,18691.0,20841.0,20419.0,17007.0,18794.0,16780.0,,,,,,,,,IH0035,1,29.890008,-97.915969,490251,POINT (-97.915969 29.890008000000005)
14,Austin,106,Hays,106H2,ANNUAL ACR,1,2023,127801,130011.0,120963.0,107121.0,120361.0,99309.0,93139.0,92455.0,86601.0,97441.0,86943.0,86510.0,86080.0,86180.0,67880.0,72040.0,69750.0,59000.0,76790.0,78000.0,IH0035,1,29.899,-97.906839,490252,POINT (-97.906839 29.899)
14,Austin,106,Hays,106H20A,ANNUAL ACR,1,2023,31746,29697.0,31061.0,18319.0,30156.0,29661.0,29079.0,28760.0,29362.0,23671.0,24250.0,21000.0,21000.0,13600.0,14300.0,16400.0,14300.0,13100.0,12930.0,12000.0,RM0012,1,29.864425,-97.961875,490254,POINT (-97.961875 29.864425000000004)
14,Austin,106,Hays,106H20B,ANNUAL ACR,1,2023,114237,110678.0,108477.0,93000.0,131128.0,102074.0,102844.0,102160.0,96306.0,98100.0,78591.0,78200.0,73380.0,90710.0,64000.0,82780.0,81960.0,68000.0,66930.0,65000.0,IH0035,1,29.803038,-98.012993,490255,POINT (-98.012993 29.803037999999994)
14,Austin,106,Hays,106H20BNBSR,ANNUAL ACR,1,2023,3416,3492.0,3256.0,2467.0,3224.0,299.0,250.0,283.0,217.0,251.0,612.0,590.0,,,,,,,,,IH0035,1,29.802931,-98.01258,490256,POINT (-98.01258 29.802931)
14,Austin,106,Hays,106H20BSBSR,ANNUAL ACR,1,2023,3521,2059.0,1920.0,1431.0,1901.0,918.0,905.0,1208.0,1020.0,1076.0,970.0,590.0,,,,,,,,,IH0035,1,29.803192,-98.013352,490257,POINT (-98.013352 29.803191999999992)
14,Austin,106,Hays,106H21,ANNUAL ACR,1,2023,6126,7790.0,7790.0,7251.0,7713.0,7713.0,7817.0,8306.0,7710.0,5974.0,6044.0,5000.0,6000.0,4600.0,5100.0,5300.0,4800.0,4800.0,4630.0,4600.0,FM2439,1,29.834549,-97.992291,490258,POINT (-97.992291 29.834549)
14,Austin,106,Hays,106H22,ANNUAL ACR,1,2023,5957,7325.0,6451.0,3005.0,6387.0,4170.0,3841.0,4109.0,5110.0,3886.0,4464.0,5300.0,8600.0,8500.0,9400.0,9700.0,11200.0,10300.0,9860.0,9200.0,SH0080,1,29.898978,-97.975217,490259,POINT (-97.975217 29.898978000000003)
14,Austin,106,Hays,106H23,ANNUAL ACR,1,2023,8335,8160.0,8492.0,4515.0,8408.0,7579.0,6695.0,6305.0,5649.0,5063.0,5880.0,4700.0,4800.0,4500.0,4300.0,4800.0,4700.0,4100.0,4000.0,3900.0,RM0032,1,29.941665,-98.095099,490261,POINT (-98.095099 29.941665)
14,Austin,106,Hays,106H23A,ANNUAL ACR,1,2023,12458,14217.0,14870.0,4480.0,14723.0,13148.0,12253.0,12303.0,10683.0,9725.0,10565.0,8300.0,8900.0,7400.0,7200.0,7900.0,8300.0,8400.0,8030.0,7400.0,RM0012,1,29.94058,-98.087113,490262,POINT (-98.087113 29.940579999999997)
14,Austin,106,Hays,106H23B,ANNUAL ACR,1,2023,13025,13641.0,14267.0,9890.0,13851.0,12971.0,11911.0,11960.0,10934.0,9879.0,10358.0,8300.0,,,,,,,,,RM0012,1,29.898249,-97.984587,490263,POINT (-97.984587 29.898248999999993)
14,Austin,106,Hays,106H23C,ANNUAL ACR,1,2023,18077,17102.0,17887.0,13185.0,17366.0,,,,,,,,,,,,,,,,RM0012,1,29.879747,-97.970768,490264,POINT (-97.970768 29.87974699999999)
14,Austin,106,Hays,106H24,ANNUAL ACR,1,2023,13180,11483.0,11129.0,6501.0,13160.0,11943.0,10639.0,11400.0,10248.0,8775.0,8684.0,8200.0,8200.0,7400.0,7400.0,8500.0,9300.0,8400.0,8410.0,7900.0,RM0012,1,29.943754,-98.092629,490265,POINT (-98.092629 29.94375399999999)
14,Austin,106,Hays,106H25A,ANNUAL ACR,1,2023,15191,13738.0,12997.0,8657.0,16582.0,15054.0,14362.0,15164.0,14346.0,11896.0,12659.0,12000.0,11200.0,12600.0,11600.0,13000.0,16100.0,14700.0,14510.0,13400.0,RM0012,1,29.996951,-98.097795,490266,POINT (-98.097795 29.996950999999996)
14,Austin,106,Hays,106H25B,ANNUAL ACR,1,2023,13655,11401.0,11924.0,7639.0,15630.0,13415.0,12561.0,13459.0,12082.0,9947.0,9882.0,9500.0,9100.0,9800.0,8900.0,9800.0,12600.0,10400.0,10200.0,9500.0,RM0012,1,29.994473,-98.090116,490267,POINT (-98.090116 29.994472999999992)
14,Austin,106,Hays,106H25C,ANNUAL ACR,1,2023,10662,9947.0,10246.0,5956.0,11471.0,14233.0,9811.0,10638.0,9782.0,8176.0,8707.0,7800.0,7700.0,8400.0,7900.0,8500.0,10100.0,9400.0,10110.0,8800.0,RM0012,1,29.994862,-98.091395,490268,POINT (-98.091395 29.994861999999994)
14,Austin,106,Hays,106H27,ANNUAL ACR,1,2023,5600,4939.0,4910.0,2880.0,4689.0,4952.0,4628.0,4738.0,4795.0,3296.0,3686.0,3700.0,4000.0,3900.0,3500.0,4000.0,3500.0,3400.0,3340.0,3100.0,RM3237,1,30.018341,-98.044688,490269,POINT (-98.04468799999998 30.018340999999996)
14,Austin,106,Hays,106H28,ANNUAL ACR,1,2023,6038,5623.0,5324.0,3636.0,5271.0,5276.0,4567.0,5108.0,4711.0,4416.0,4171.0,4100.0,3600.0,4100.0,3700.0,4200.0,4400.0,4200.0,3840.0,3500.0,RM3237,1,30.047472,-97.991051,490270,POINT (-97.991051 30.047471999999992)
14,Austin,106,Hays,106H29,ANNUAL ACR,1,2023,10858,8550.0,8890.0,6042.0,9654.0,10254.0,9878.0,10897.0,10679.0,9412.0,8418.0,8900.0,7200.0,8800.0,8100.0,8800.0,9700.0,8000.0,9140.0,8300.0,RM2325,1,30.004765,-98.109416,490271,POINT (-98.10941600000001 30.00476499999999)
14,Austin,106,Hays,106H2NBSR,ANNUAL ACR,1,2023,13280,17289.0,16119.0,10386.0,15959.0,16344.0,15041.0,15855.0,15798.0,9733.0,12934.0,12680.0,,,,,,,,,IH0035,1,29.898012,-97.907241,490272,POINT (-97.907241 29.898011999999987)
14,Austin,106,Hays,106H2SBSR,ANNUAL ACR,1,2023,12623,17188.0,16025.0,9813.0,15866.0,15857.0,14641.0,15633.0,15603.0,11204.0,14318.0,12680.0,,,,,,,,,IH0035,1,29.899208,-97.907204,490273,POINT (-97.907204 29.899207999999994)
14,Austin,106,Hays,106H3,ANNUAL ACR,1,2023,113768,118416.0,110175.0,107731.0,121046.0,102465.0,107354.0,106670.0,100816.0,103833.0,100138.0,99640.0,98960.0,96900.0,75430.0,81780.0,83070.0,73070.0,73070.0,71000.0,IH0035,1,29.974855,-97.874328,490274,POINT (-97.87432799999999 29.974855000000005)
14,Austin,106,Hays,106H30,ANNUAL ACR,1,2023,6338,4980.0,5092.0,3412.0,6069.0,5958.0,5480.0,5943.0,5890.0,3517.0,4026.0,4700.0,3300.0,4400.0,4700.0,3600.0,3700.0,3500.0,3400.0,3200.0,RM2325,1,30.019261,-98.139759,490275,POINT (-98.139759 30.019261000000007)
14,Austin,106,Hays,106H31,ANNUAL ACR,1,2023,1166,895.0,925.0,961.0,916.0,850.0,764.0,885.0,862.0,594.0,689.0,660.0,660.0,810.0,770.0,690.0,810.0,680.0,680.0,660.0,RM2325,1,30.095954,-98.23735,490276,POINT (-98.23735 30.095953999999992)
